id,name,position,tags,edel_enjoyment
b0b509de-4eed-4415-b419-a02abdc481c1,Tidal Wave,4,2.1;XXL;Wave;NONG,70.0
458bbbdb-a121-4a8f-a7a4-5ea68be04484,Every End,8,2.1;XXL+;Timings;Slow-Paced;Precision;Nerve Control;Cube,44.1
45036980-77db-4bb5-9720-59ef3001a12e,andromeda,9,2.2;Long;NONG;Fast-Paced;Timings;Chokepoints;Learny;Wave,73.86666667
d6f7ba38-9787-42a2-acf2-4585e69cbb91,Silent clubstep,11,1.8;Long;Timings;Chokepoints;Mirror;Ship,36.66666667
298bb7f4-38e4-4376-b8b6-8659cf2d2c00,Anathema,12,2.2;XL;Fast-Paced;Overall,58.125
dbafbb7d-f925-406c-95e1-7298733def71,Avernus,13,2.1;Long;Fast-Paced;High CPS;Ship;Wave,76.66666667
4ae11fe6-fd93-4a4b-8481-3048d3edf736,Acheron,14,2.1;Long;Fast-Paced;Timings;Ship;Wave;Chokepoints,48.75862069
8d117c28-8955-4cf9-9b72-4ca2e211534a,Spectre,15,2.2;XL;Overall;Timings;Chokepoints;Nerve Control,63.0
3d351b86-3762-4eee-95aa-8dbd16189531,Menace,16,2.2;XXL;Timings;Learny;Gimmicky;New Swing;Duals,73.625
c9227a33-a5d4-47d3-a025-a07781f228e1,Abyss of Darkness,17,2.1;XL;Slow-Paced;Overall;Timings;Wave;Chokepoints,37.03571429
e564dff8-304b-401d-9376-63528b7ba279,Tunnel of Despair,18,2.1;Long;Timings;Learny;Wave,41.61538462
06898192-2f94-4b57-a18b-d95cc73c69e5,Kyouki,20,2.1;Long;Fast-Paced;Clicksync;Flow;Overall,81.09090909
d79120ff-015e-457f-a164-52e98b40f411,Subterminal Point,21,2.2;Long;Timings;Chokepoints;Wave,38.06666667
67708587-274e-4de8-9be9-55385bbcbc9f,Slaughterhouse ,22,2.1;Long;Fast-Paced;Wave;Cube;NONG,44.11320755
b0c5c3a8-02a4-4a64-ad6f-46253ff77c9a,KOCMOC,23,2.1;Long;Fast-Paced;Wave;Cube,52.3125
24d0f430-f42f-45b9-af35-b6eea34be7df,The Lightning Rod,24,2.1;Long;Learny;High CPS,50.41666667
51a1538a-b53a-4f31-9fed-715b4e9e5951,CHIL,25,2.2;Long;Fast-Paced;Learny;High CPS;Overall,82.85714286
b0f62595-314d-4648-b23e-12756382c126,Sakupen Circles,26,2.1;Medium;Fast-Paced;Circles;Wave,47.34482759
92b9d057-f34a-4358-820e-f8bb0af88a43,Deimos (ItsHybrid),27,2.1;XL;Timings;Precision;Overall,60.9047619
cfb5fb27-a0d8-48bc-8ed9-bae291e24f1a,Eyes in the Water,28,2.1;Long;Timings;Learny;High CPS;Memory;Ship;Overall,61.93333333
